,TITLE,AGENT,ID
0,"X DIAMOND PARTNERS, LLP",REGISTERED AGENT,"KENDALL  VETTER
2341 BAYVIEW COURT SE
MANDAN, ND  58554"
1,X ELECTRIC,OWNER NAME,"XTREME ELECTRICAL SERVICES, INC."
2,X GOLF BISMARCK,OWNER NAME,"ELITE GOLF 2, LLC"
3,X GOLF MINOT,OWNER NAME,"ELITE GOLF, LLC"
4,X REALTY LLC,REGISTERED AGENT,"ERIC  CHRISTIANS
3749 14TH ST W
WEST FARGO, ND  58078"
5,X REPUBLIC SALON LLC,REGISTERED AGENT,"PEDRO  CAVASAS
2396 125TH AVE NW
WATFORD CITY, ND  58854"
6,"X S BROKERS INSURANCE AGENCY, INC.",COMMERCIAL REGISTERED AGENT,"REGISTERED AGENT SOLUTIONS, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121"
7,"X2COMM, INC.",COMMERCIAL REGISTERED AGENT,"NATIONAL REGISTERED AGENTS, INC.
120 W SWEET AVE
BISMARCK, ND  58504-5566"
8,X2VA LLC,REGISTERED AGENT,"DAKOTA W REGISTERED AGENT LLC
3003 32ND AVE S
STE 240
FARGO, ND  58103"
9,XACTLYONE FOUNDATION,COMMERCIAL REGISTERED AGENT,"NORTHWEST REGISTERED AGENT SERVICE, INC.
3003 32ND AVE S STE 240
FARGO, ND  58103-6118"
10,"XACTUS, LLC",COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
11,"XANADU PRODUCTS, L.L.C.",REGISTERED AGENT,"RICK  PAULSON
115 W CENTURY AVE STE B
BISMARCK, ND  58503-1403"
12,"XANADU, LLC",REGISTERED AGENT,"MICHELLE  BAKKE
4390 46TH AVE S UNIT A
FARGO, ND  58104-4257"
13,XANDER PRODUCTS & SERVICE LLC,REGISTERED AGENT,"ALEXANDER G. MUGAN
3228 44TH AVE S
FARGO, ND  58104"
14,XAP CORPORATION,COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
15,XAPIC STUDIOS,OWNER NAME,PATRICIA A ROGALLA
16,"XB INVESTMENTS, LLC",REGISTERED AGENT,"JOSH  JELINEK
12 MILL ST
PISEK, ND  58273"
17,"XCALIBER INTERNATIONAL LTD., L.L.C.",COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
